created_at,text
Thu May 08 07:36:44 +0000 2025,"SUASANA PANTAI SANUR TAHUN 1975 https://t.co/1sUOzkL9Z5

Luna Maya
kamasutra jawa
#SkyNaniFansign
Program MBG
Vaksin
#EnamBulanPemerintah
#GalaxyA36
Luhut
BPJS
#AwesomeIntelligence"
Thu May 08 01:59:15 +0000 2025,"Patroli pagi personil BGP ATV Airud Bali di pesisir objek wisata sanur, Kuta, dan Nusa dua guna mejamin Kamtibmas Kondusif aman, serta memberikan kenyamanan bagi pengunjung pantai maupun masyarakat pesisir yang berada dipesisir objek wisata 

#airudbali_hebat https://t.co/85uIJu7RgD"
